編號,答案,類近題目
0301,"題目 1
📌 參考答案：C

📖 詳細解釋：
馬鈴薯屬於有葉的植物，因此不是裸子植物，沒有毬果。
A potato plant has leaves, so it is not a gymnosperm and does not bear cones.

它儘管可經由塊莖繁殖（無性生殖），但在生長季末期仍可開花結果（進行有性生殖）。
Although it reproduces asexually by tubers, it can also reproduce sexually by flowering and fruiting at the end of the growing period.

這說明所有能進行營養繁殖的植物，也同時具備有性生殖能力。
This shows that all plants capable of vegetative propagation can also undergo sexual reproduction.

因此檢驗次序為 1a → 2b → 3a ，馬鈴薯應為 C。
Hence, the correct sequence is 1a → 2b → 3a, so the potato corresponds to C.

📌 考試提醒：
判定植物種類時，注意葉、果、花粉三大特徵；要記住「馬鈴薯」指的是塊莖（莖部），但植物本身仍會開花結果。
When identifying plant groups, focus on leaves, fruits, and pollen; note that “potato” refers to the stem tuber, but the plant itself flowers and fruits.",
0302,"題目 2
📌 參考答案：D

📖 詳細解釋：
條蟲寄生在充滿已消化食物的人腸內，可直接經體壁吸收食物，而不需消化道。
A tapeworm lives in the host’s intestine filled with digested food, so it absorbs nutrients through its body wall without a digestive canal.

沒有消化道能節省能量，但並非生存必需條件。
Lacking an alimentary canal saves energy, but is not essential for survival.

牠的鉤及吸盤只是固定在宿主腸壁上，不參與食物分解。
Its hooks and suckers serve attachment, not digestion.

食物雖可吸收，但條蟲仍需將吸收的有機物進行呼吸代謝以產生 ATP ，B 與 C 均錯。
The tapeworm still metabolizes absorbed material to form ATP, thus B and C are incorrect.

其帶狀扁平的身體則可增加吸收表面積，以高效率吸收營養，因此 D 最正確。
Its flat ribbon-like body enlarges surface area for absorption, making D the best choice.

📌 考試提醒：
見「寄生條蟲」題目時，必記三重點：吸收營養不消化、扁平身體、大表面積。
When facing tapeworm questions, remember the triad: absorption without digestion, flat body, large surface area.",
0303,"題目 3
📌 參考答案：C

📖 詳細解釋：
表皮細胞位於葉表層、無葉綠體，透明以利光進入；葉肉細胞位於下層，含大量葉綠體進行光合作用。
Epidermal cells are on the leaf surface, transparent for light penetration; mesophyll cells below contain many chloroplasts for photosynthesis.

兩者均有細胞壁與細胞核，但主要區別在功能與結構：一個保護性，一個進行光合作用。
Both have cell walls and nuclei, but differ in structure and function—one is protective, the other photosynthetic.

因此選 C：表皮細胞位於葉肉細胞上方，前者允許光線進入後者進行光合作用。
So C is correct: epidermal cells cover mesophyll cells, allowing light to pass through for photosynthesis.

📌 考試提醒：
葉的橫切面要識別透明表皮細胞與含葉綠體的葉肉細胞。
When studying leaf cross-sections, distinguish transparent epidermis from chloroplast-rich mesophyll.",
0304,"題目 4
📌 參考答案：B

📖 詳細解釋：
蛋白質的化學分解主要在胃與小腸進行。
Protein digestion mainly occurs in the stomach and small intestine.

胃液含胃蛋白酶（pepsin），將蛋白質初步分解為多肽。
The stomach secretes pepsin, which breaks down proteins into peptides.

接著，小腸的胰蛋白酶與腸液酶進一步將多肽分解成氨基酸。
Then, trypsin and intestinal enzymes further hydrolyze peptides into amino acids.

因此正確部位為 2 （胃）與 3 （小腸）。
Therefore, the correct sites are 2 (stomach) and 3 (small intestine).

📌 考試提醒：
記憶順序：胃→胰液→腸液三步蛋白質消化鏈。
Remember the pathway: stomach → pancreatic juice → intestinal juice for protein digestion.",
0305,"題目 5
📌 參考答案：B

📖 詳細解釋：
小腸（迴腸）比大腸長，內壁有大量絨毛與皺褶，大大擴大吸收面積。
The ileum is much longer and has numerous villi and folds, providing a very large surface area.

礦鹽由小腸內液通過擴散及主動運輸進入血液，吸收效率高於大腸。
Mineral salts are absorbed into the bloodstream through diffusion and active transport, more efficiently than in the colon.

因此正確答案是 B ：大多數的礦物質於小腸中被吸收。
Hence B is correct—most mineral salts are absorbed in the ileum.

📌 考試提醒：
若題目同時出現「小腸與大腸」→ 吸收量多者永遠是小腸。
When you see both small and large intestines listed, the small intestine always absorbs more.",
0306,"題目 6
📌 參考答案：A

📖 詳細解釋：
脂肪可溶於酒精，用酒精洗滌後脂肪會被溶解去除。
Fat dissolves in alcohol, so washing removes it.

若透明斑消失，代表此斑點是由脂肪造成。
If the translucent spot disappears, it shows the spot was due to fat.

其餘方法（如加熱、光照等）不會確定脂肪存在。
Other methods like heating or light exposure cannot confirm fat presence.

📌 考試提醒：
辨識脂肪的關鍵：酒精可溶法，不要與「澱粉碘液反應」或「蛋白質雙縮脲反應」混淆。
For fat detection, remember solubility in alcohol—don’t confuse with iodine test for starch or biuret test for protein.",
0307,"題目 7
📌 參考答案：D

📖 詳細解釋：
光合作用過程中，植物吸收二氧化碳並釋放氧氣。
During photosynthesis, the plant absorbs carbon dioxide and releases oxygen.

在實驗中，碳酸氫鈉提供二氧化碳，而容器中氣體體積的上升反映氧氣的釋放。
In this experiment, sodium hydrogencarbonate provides CO₂, and the rise in gas volume in the syringe shows O₂ release.

起始讀數 = 0.20 mL，30 分鐘後 = 0.45 mL，體積增量 = 0.25 mL。
Starting reading = 0.20 mL; after 30 minutes = 0.45 mL; increase = 0.25 mL.

0.25 mL ÷ 0.5 小時 = 每小時產生 0.50 mL 氧氣。
0.25 mL ÷ 0.5 hour = 0.50 mL O₂ per hour.

因此答案為 D。
Hence D is correct.

📌 考試提醒：
若題目同時出現「碳酸氫鈉 + 綠色植物 + 體積上升」→ 表示光合作用放氧，非呼吸吸氧。
When you see “NaHCO₃ + green plant + gas volume increase,” it always indicates O₂ release from photosynthesis, not respiration.",
0308,"題目 8
📌 參考答案：A

📖 詳細解釋：
植物除了光合作用外，仍進行呼吸作用，需消耗氧氣。
Plants also respire, consuming some oxygen at the same time as photosynthesis.

所以實驗中測得的氧氣淨釋放量低於實際光合作用速率。
Thus, the measured O₂ release is lower than the true photosynthetic rate.

若只進行光合作用，氣體體積上升會更快；加入呼吸作用後速率下降。
If only photosynthesis occurred, gas volume would increase faster; respiration lowers the net rate.

選項 A 指出氧氣被呼吸作用同時消耗，因此正確。
Option A states that oxygen is also being used up by respiration—correct.

📌 考試提醒：
判斷光合作用速率時要留意「同時進行的呼吸作用」這隱藏變項。
Always remember that respiration occurs simultaneously, reducing apparent photosynthetic rate.",
0309,"題目 9
📌 參考答案：C

📖 詳細解釋：
訓練過的運動員（曲線 Y）在運動中產生較少乳酸，因為他能長時間維持有氧呼吸。
A trained athlete (curve Y) produces less lactic acid during exercise due to prolonged aerobic respiration.

未訓練者（曲線 X）因氧氣供應不足較早進入無氧呼吸，乳酸積聚較多。
An untrained person (curve X) experiences oxygen deficit earlier, leading to more lactic acid build-up.

因此 X 的乳酸濃度高於 Y 。
Thus, X > Y in lactic acid concentration.

📌 考試提醒：
要分辨哪條是運動員 → 乳酸少代表有氧效率高、肺活量大、血液供氧好。
For exercise graphs, the lower lactic acid curve always belongs to the trained athlete.
",
0310,"題目 10
📌 參考答案：C

📖 詳細解釋：
未經訓練者為滿足劇烈運動時肌肉對氧的需求，呼吸速率需急劇上升。
An untrained individual must increase breathing rate sharply to meet the high oxygen demand.

即使運動結束後，體內仍存在乳酸，需氧氣氧化分解，因此呼吸速率保持一段時間的高值。
Even after exercise, extra oxygen is needed to oxidize lactic acid, so the breathing rate remains elevated briefly.

選項 C 顯示呼吸上升並緩慢回復，最符合實際情況。
Option C shows a rise during exercise followed by a gradual fall, matching reality.

📌 考試提醒：
運動後呼吸速率不會立即下降，考生常混淆於 B 或 D；記住要有「運動後暫時高呼吸速率」階段。
Post-exercise breathing doesn’t drop instantly—look for a short plateau before recovery, typical of oxygen debt repayment.",
